code_esp,nom_latin,type,cat_group_size,groupe,Famille,List_sp,liste_especes_potentielles,potential_sp,group_pelgas,nom_commun,nom_anglais,nom_espagnol,phylum_public,classe_public,ordre_public,famille_public,taxon_fr,family_eng,group_eng,id_public,LB_NOM_taxref,NOM_VERN_taxref,NOM_VERN_ENG_taxref,CD_NOM_taxref,APHIA_ID_taxref,REGNE_taxref,PHYLUM_taxref,CLASSE_taxref,ORDRE_taxref,FAMILLE_taxref,R_Caraibes,R_Ocean_Indien,R_Polynesie,R_Sud_Pacifique,R_France_metropole,ASI,CODE_SCANS3,CODE_Bat,CODE_Samm,CODE_OI,CODE_PF,Group_old,kind_ident,nb_bases_remmoa,ex_code_et_corrections
"MESMIR","Mesoplodon mirus","Marine mammal","Medium cetacean","Mesoplodon","Ziphiidae","Mesoplodon de True",,,,"Mesoplodon de True","True's beaked whale",,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Mesoplodon",4.7200000000000000e+02,"Mesoplodon mirus","Mesoplodon de True, Baleine a  bec de True","True's Beaked Whale",6.0967000000000000e+04,"137126","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae",,"M",,,,,,,,"0",,"Mesoplodon","Mesoplodon",1.8000000000000000e+01,
"MESSPP","Mesoplodon sp.","Marine mammal","Medium cetacean","Mesoplodon","Ziphiidae","Mesoplodon ind.",,,,"Mesoplodon ind.","Mesoplodont whales sp","Ballena de pico spp","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Mesoplodon",4.5900000000000000e+02,,,,,,,,,,,"Guy","R","R","R","Samm, bat, atlancet","x",,,,"MESSPP",,"Mesoplodon","Mesoplodon",2.0000000000000000e+01,
"MILMIG","Milvus migrans","Land Bird",,"Rapace","Autre oiseau","Milan noir",,,,"Milan noir","Black Kite","Milano negro","Chordata","Aves","Falconiformes","Accipitridae","Oiseau terrestre","Other bird","Bird of prey",4.7700000000000000e+02,"Milvus migrans"," Milan noir","Black Kite",2.8400000000000000e+03,,"Animalia","Chordata","Aves","Falconiformes","Accipitridae",,,,,"bat","x",,,,"0",,"rapace","rapace",,
"MINIBO","Mining boat","Human activity",,"Commerce","Ship","Bateau minier",,,,"Bateau minier","Mining boat",,"X",,,,"Activite humaine","Ship","Transport",,,,,,,,,,,,,,,"R",,"x",,,,"0",,"Ship","Ship",,
"MOBMOB","Mobula mobular","Other Marine Wildlife",,"Raie","Elasmobranche","Raie diable de mer mediterraneen",,,,"Raie diable de mer","Giant devil ray",,"Chordata","Elasmobranchii","Rajiformes","Myliobatidae","Autre faune marine","Elasmobranch","Ray",4.8300000000000000e+02,"Mobula mobular","Mante","Devil Ray",6.6768000000000000e+04,"105858","Animalia","Chordata","Elasmobranchii","Rajiformes","Myliobatidae",,,,,"Samm","x",,,,"0",,"Fish","Fish",,
"MOBSPP","Mobula spp","Other Marine Wildlife",,"Raie","Elasmobranche","Raie diable de mer ind.",,"Mobula tarapacana / japonica / thurstoni / kuhlii / eregootenkee",,"Diable de mer ind.","Devil ray sp",,"Chordata","Elasmobranchii","Rajiformes","Myliobatidae","Autre faune marine","Elasmobranch","Ray",,,,,,,,,,,,,"R","R","R",,"x",,,,"0",,"Fish","Fish",1.7000000000000000e+01,"RAYSPP / ayant diable de mer en commentaire / OI ou MOBERE / Polynesie"
"MOLMOL","Mola mola","Other Marine Wildlife",,"Grand poisson","Poisson","Poisson lune",,,,"Poisson lune","Sunfish","Pez luna","Chordata","Actinopterygii","Tetraodontiformes","Molidae","Autre faune marine","Fish","Large fish",4.8600000000000000e+02,"Mola mola"," Poisson lune","Ocean sunfish",,,,,,,,,"R","R",,"Samm, bat, belgica, romer, atlancet","x","MMOL",,,"MOLMOL",,"Fish","Fish",1.9000000000000000e+01,
"MONMON","Monachus monachus","Marine mammal",,"Phoque","Phocidae","Phoque moine",,,,"Phoque moine","Mediterranean Monk Seal",,,,,,"Mammifere marin","Phocidae","Seal",,,,,,,,,,,,,,,,,"x",,,,,,,"Phoque",,
"MOTALB","Motacilla alba","Land Bird",,"Passereau","Autre oiseau","Bergeronnette grise",,,,"Bergeronnette grise","White Wagtail","Lavandera blanca","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",4.9700000000000000e+02,"Motacilla alba"," Bergeronnette grise","Pied Wagtail",3.9410000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Motacillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"MOTCIN","Motacilla cinerea","Land Bird",,"Passereau","Autre oiseau","Bergeronnette des ruisseaux",,,,"Bergeronnette des ruisseaux","Grey Wagtail","Lavandera cascadena","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",4.9800000000000000e+02,"Motacilla cinerea"," Bergeronnette des ruisseaux","Grey Wagtail",3.7550000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Motacillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
